SECCION 1 - RESUMEN POR ZONA

"Zona","Matriculas","Personas","Capacidad (meta)","Cupos disponibles","Ocupacion (%)","Cursos","Grupos","En espera","Cursos baja ocupacion (<30%)"
Bogota & Cundinamarca,5959,5959,8750,2791,68.1,36,168,106,8
Antioquia Eje Cafetero,2602,2602,4900,2298,53.1,25,95,16,8
Caribe,1841,1841,2400,559,76.7,23,47,13,3
Santanderes & Boyaca,1365,1365,1470,105,92.9,16,28,11,2
Pacifico,3622,3622,4550,928,79.6,27,88,49,3
Sur y Llanos,3038,3038,5150,2112,59.0,20,103,42,4
Total 6 zonas,18427,18427,27220,8793,67.7,,529,237,28

SECCION 2 - DETALLE DE CURSOS POR ZONA

"Zona","Codigo","Curso","Grupos","Capacidad","Matriculados","Disponibles","Grupos llenos","En espera"
Bogota & Cundinamarca,C-2500,Sin Limites Virtual,G-4956,Sabado 9:00 - 10:30 a.m,50,6,0
Bogota & Cundinamarca,C-2500,Sin Limites Virtual,G-4957,Sabado 10:00 - 11:30 a.m,50,14,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4962,Lunes 13:00 - 14:30 p.m,50,50,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4963,Lunes 16:00 - 17:30 p.m,50,34,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4964,Martes 10:00 - 11:30 a.m,50,35,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4965,Jueves 20:00 - 21:30 p.m,50,50,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4966,Jueves 20:00 - 21:30 p.m,50,50,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4967,Viernes 16:00 - 17:30 p.m,50,34,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4968,Sabado 8:00 - 9:30 a.m,50,50,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4969,Sabado 8:00 - 9:30 a.m,50,50,3
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4970,Sabado 10:00 - 11:30 a.m,50,50,0
Bogota & Cundinamarca,C-2561,Portugues Nivel 1,G-4999,Martes 18:00 - 19:30 p.m,60,60,3
Bogota & Cundinamarca,C-2561,Portugues Nivel 1,G-5000,Jueves 14:00 - 15:30 p.m,60,60,1
Bogota & Cundinamarca,C-2561,Portugues Nivel 1,G-5001,Sabado 8:00 - 9:30 a.m,60,60,5
Bogota & Cundinamarca,C-2502,Reposteria 2,G-4960,Viernes 14:00 - 15:30 p.m,50,50,0
Bogota & Cundinamarca,C-2502,Reposteria 2,G-4961,Sabado 10:00 - 11:30 a.m,50,50,0
Bogota & Cundinamarca,C-2540,Pintura en madera 1,G-4996,Martes 9:00 - 10:30 a.m,60,39,0
Bogota & Cundinamarca,C-2540,Pintura en madera 1,G-4997,Miercoles 8:00 - 9:30 a.m,60,19,0
Bogota & Cundinamarca,C-2540,Pintura en madera 1,G-4998,Sabado 8:00 - 9:30 a.m,60,60,0
Bogota & Cundinamarca,C-2739,Modisteria Reparacion y Modificacion de Prendas de Vestir,G-5003,Miercoles 10:00 - 11:30 a.m,60,60,0
Bogota & Cundinamarca,C-2739,Modisteria Reparacion y Modificacion de Prendas de Vestir,G-5004,Jueves 10:00 - 11:30 a.m,60,60,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,G-4912,Lunes 19:00 - 20:30 p.m,50,18,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,G-4913,Sabado 9:00 - 10:30 a.m,50,13,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,G-4914,Sabado 9:00 - 10:30 a.m,50,2,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,G-4928,Miercoles 19:00 - 20:30 p.m,50,5,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,G-4939,Jueves 16:00 - 17:30 p.m,50,6,0
Bogota & Cundinamarca,C-2568,Italiano Nivel 1,G-5079,Sabado 8:00 - 9:30 a.m,60,60,16
Bogota & Cundinamarca,C-2567,Italiano Nivel 2,G-4982,Miercoles 17:00 - 18:30 p.m,60,56,0
Bogota & Cundinamarca,C-2567,Italiano Nivel 2,G-5078,Sabado 11:00 - 12:30 a.m,60,60,0
Bogota & Cundinamarca,C-2562,Portugues Nivel 2,G-5002,Sabado 8:00 - 9:30 a.m,60,19,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4769,Lunes 15:00 - 16:30 p.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4770,Miercoles 15:00 - 16:30 p.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4838,Sabado 9:00 - 10:30 a.m,50,50,1
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4842,Sabado 8:00 - 9:30 a.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4950,Viernes 15:00 - 16:30 p.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4951,Viernes 20:00 - 21:30 p.m,50,50,2
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5128,Jueves 20:00 - 21:30 p.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5129,Sabado 8:00 - 9:30 a.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5130,Sabado 11:00 - 12:30 a.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5131,Miercoles 11:00 - 12:30 a.m,50,50,1
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5132,Jueves 19:00 - 20:30 p.m,50,50,1
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5133,Viernes 10:00 - 11:30 a.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5134,Jueves 20:00 - 21:30 p.m,50,50,0
Bogota & Cundinamarca,C-2535,Salud y Bienestar para Ovinos y Caprinos,G-4764,Sabado 8:00 - 9:30 a.m,60,30,0
Bogota & Cundinamarca,C-2504,Reposteria 1,G-4974,Martes 18:00 - 19:30 p.m,50,50,1
Bogota & Cundinamarca,C-2504,Reposteria 1,G-4975,Miercoles 17:00 - 18:30 p.m,50,50,0
Bogota & Cundinamarca,C-2504,Reposteria 1,G-4976,Sabado 8:00 - 9:30 a.m,50,50,1
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4694,Jueves 19:00 - 20:30 p.m,50,21,0
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4722,Viernes 10:00 - 11:30 a.m,50,13,0
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4757,Sabado 10:00 - 11:30 a.m,50,29,0
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4832,Martes 14:00 - 15:30 p.m,50,14,0
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4833,Martes 19:00 - 20:30 p.m,50,6,0
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4834,Jueves 9:00 - 10:30 a.m,50,12,0
Bogota & Cundinamarca,C-2579,Sistemas e Informatica | Nivel basico,G-4977,Jueves 20:00 - 21:30 p.m,50,0,0
Bogota & Cundinamarca,C-2579,Sistemas e Informatica | Nivel basico,G-4978,Jueves 20:00 - 21:30 p.m,50,0,0
Bogota & Cundinamarca,C-2579,Sistemas e Informatica | Nivel basico,G-4979,Sabado 8:00 - 9:30 a.m,50,0,0
Bogota & Cundinamarca,C-2579,Sistemas e Informatica | Nivel basico,G-4980,Sabado 11:00 - 12:30 a.m,50,0,0
Bogota & Cundinamarca,C-2579,Sistemas e Informatica | Nivel basico,G-5007,Miercoles 11:00 - 12:30 a.m,50,0,0
Bogota & Cundinamarca,C-2579,Sistemas e Informatica | Nivel basico,G-5008,Jueves 19:00 - 20:30 p.m,50,0,0
Bogota & Cundinamarca,C-2579,Sistemas e Informatica | Nivel basico,G-5009,Viernes 10:00 - 11:30 a.m,50,0,0
Bogota & Cundinamarca,C-2592,Frances Nivel 2,G-4922,Sabado 9:00 - 10:30 a.m,50,42,0
