SECCION 1 - RESUMEN POR ZONA

"Zona","Matriculas","Personas","Capacidad (meta)","Cupos disponibles","Ocupacion (%)","Cursos","Grupos","En espera","Cursos baja ocupacion (<30%)"
Bogota & Cundinamarca,6530,6530,8400,1870,77.7,35,161,111,7
Antioquia & Eje Cafetero,2614,2614,4550,1936,57.5,21,91,16,4
Zona Caribe,2015,2015,2400,385,84.0,23,47,13,3
"Santanderes, Boyaca y Cesar",1378,1378,1470,92,93.7,16,28,11,2
Zona Pacifico,3666,3666,4550,884,80.6,27,88,49,3
Zona Sur & Llanos,3369,3369,5150,1781,65.4,20,103,42,3
Total 6 zonas,19572,19572,26520,6948,73.8,,518,242,22

SECCION 2 - DETALLE DE CURSOS POR ZONA

"Zona","Codigo","Curso","Grupos","Capacidad","Matriculados","Disponibles","Grupos llenos","En espera"
"Santanderes, Boyaca y Cesar",C-2625,Familias Empresarias del Campo,1,50,50,0,1,0
"Santanderes, Boyaca y Cesar",C-2522,Profundizacion Costos para Emprendedores,1,60,8,52,0,0
"Santanderes, Boyaca y Cesar",C-2537,El ABC del Reciclaje,1,50,50,0,1,0
"Santanderes, Boyaca y Cesar",C-2624,Mi Negocio en Internet 1,1,50,10,40,0,0
"Santanderes, Boyaca y Cesar",C-2723,Sistemas Nivel 2,1,50,50,0,1,0
"Santanderes, Boyaca y Cesar",C-2518,Comprension Lectora,1,50,50,0,1,0
"Santanderes, Boyaca y Cesar",C-2529,Despertar Emprendedor 1,2,100,100,0,2,0
"Santanderes, Boyaca y Cesar",C-2530,Ingles Nivel 2,1,60,60,0,1,0
"Santanderes, Boyaca y Cesar",C-2526,Economia del Hogar,4,200,200,0,4,1
"Santanderes, Boyaca y Cesar",C-2677,Bisuteria 1,2,100,100,0,2,1
"Santanderes, Boyaca y Cesar",C-2528,Ingles Nivel 1,4,240,240,0,4,4
"Santanderes, Boyaca y Cesar",C-2532,Sistemas e Informatica | Nivel basico,2,100,100,0,2,1
"Santanderes, Boyaca y Cesar",C-2443,Despertar Humano,4,200,200,0,4,3
Zona Pacifico,C-2439,Bienestar para la Persona Mayor,3,150,82,68,0,0
Zona Pacifico,C-2440,Costos para Emprendedores/Contabilidad,1,60,10,50,0,0
Zona Pacifico,C-2457,"Bisuteria 1, 2",1,60,60,0,1,1
Zona Pacifico,C-2442,Business English 1,1,60,40,20,0,0
Zona Pacifico,C-2472,Estrategias para la Busqueda de Empleo,3,150,26,124,0,0
Zona Pacifico,C-2648,Ingles 1,7,350,350,0,7,25
Zona Pacifico,C-2650,Ingles 2,7,350,171,179,0,0
Zona Pacifico,C-2646,Pintura en madera 1,1,60,60,0,1,0
Zona Pacifico,C-2520,Reposteria 2,2,120,55,65,0,0
Zona Pacifico,C-2521,Reposteria 1,4,200,200,0,4,3
Zona Pacifico,C-2642,Frances 1,4,200,200,0,4,4
Zona Pacifico,C-2652,Italiano 1,3,150,150,0,3,4
Zona Pacifico,C-2473,El ABC del Reciclaje,2,100,52,48,0,0
Zona Pacifico,C-2474,Confeccion: Manejo de Maquinas,2,120,120,0,2,0
Zona Pacifico,C-2527,Portugues 1,3,150,150,0,3,1
Zona Pacifico,C-2486,Sistemas e Informatica | Nivel basico,8,400,400,0,8,7
Zona Pacifico,C-2654,Modisteria 1 (Faldas),2,120,120,0,2,1
Zona Pacifico,C-2441,Comprension Lectora,5,250,250,0,5,1
Zona Pacifico,C-2635,Floristeria 1,1,60,60,0,1,1
Zona Pacifico,C-2475,Despertar Emprendedor,3,150,150,0,3,1
Zona Pacifico,C-2485,Sistemas Nivel 2,4,200,137,63,0,0
Zona Pacifico,C-2643,Trenzas y Peinados,2,120,120,0,2,0
Zona Pacifico,C-2632,Familias Empresarias del Campo,1,60,31,29,0,0
Zona Pacifico,C-2647,Orientacion Emprendedora,4,200,200,0,4,0
Zona Pacifico,C-2623,Despertar Humano,7,350,249,101,2,0
Zona Pacifico,C-2627,Economia del Hogar,6,300,213,87,2,0
Zona Pacifico,C-2653,Mi Negocio en Internet,1,60,10,50,0,0
Zona Sur & Llanos,C-2464,Reposteria 1,2,100,100,0,2,4
Zona Sur & Llanos,C-2468,Sistemas 2,3,150,150,0,3,0
Zona Sur & Llanos,C-2456,Estrategias para la Busqueda de Empleo,1,50,35,15,0,0
Zona Sur & Llanos,C-2446,Comprension Lectora,8,400,400,0,8,3
Zona Sur & Llanos,C-2453,El ABC del Reciclaje,7,350,101,249,0,0
Zona Sur & Llanos,C-2465,Reposteria 2,1,50,50,0,1,0
Zona Sur & Llanos,C-2449,Despertar Humano,17,850,407,443,3,0
Zona Sur & Llanos,C-2458,Familias Empresarias del Campo,2,100,78,22,1,0
Zona Sur & Llanos,C-2462,Mi Negocio en Internet,5,250,17,233,0,0
Zona Sur & Llanos,C-2448,Despertar Emprendedor,14,700,468,232,5,0
Zona Sur & Llanos,C-2452,Economia del Hogar,10,500,300,200,3,1
Zona Sur & Llanos,C-2459,Ingles 1,5,250,250,0,5,29
Zona Sur & Llanos,C-2461,Peinados y Trenzas,1,50,50,0,1,2
Zona Sur & Llanos,C-2467,Sistemas 1,5,250,250,0,5,2
Zona Sur & Llanos,C-2445,Bienestar para la Persona Mayor,5,250,190,60,2,0
Zona Sur & Llanos,C-2476,Orientacion Emprendedora,3,150,150,0,3,1
Zona Sur & Llanos,C-2466,Sin Limites Virtual,2,100,53,47,0,0
Zona Sur & Llanos,C-2447,Costos para Emprendedores/Contabilidad,5,250,9,241,0,0
Zona Sur & Llanos,C-2460,Ingles 2,4,200,161,39,1,0
Zona Sur & Llanos,C-2463,Modisteria 1 (Faldas),3,150,150,0,3,0

SECCION 3 - DETALLE DE GRUPOS POR CURSO

"Zona","Codigo","Curso","Grupo","Horario","Capacidad","Matriculados","En espera"
Bogota & Cundinamarca,C-2490,Business English 2,G-4779,Sabado 8:00 - 9:30 a.m,60,5,0
Bogota & Cundinamarca,C-2489,Business English 1,G-4778,Viernes 17:00 - 18:30 p.m,60,60,19
Bogota & Cundinamarca,C-2621,Manejo de Maquinas de Confeccion,G-4782,Miercoles 10:00 - 11:30 a.m,60,60,1
Bogota & Cundinamarca,C-2621,Manejo de Maquinas de Confeccion,G-4783,Viernes 8:00 - 9:30 a.m,60,60,0
Bogota & Cundinamarca,C-2552,Peinados y Trenzas,G-4762,Viernes 20:00 - 21:30 p.m,60,60,1
Bogota & Cundinamarca,C-2552,Peinados y Trenzas,G-4763,Jueves 15:00 - 16:30 p.m,60,60,0
Bogota & Cundinamarca,C-2552,Peinados y Trenzas,G-4836,Sabado 9:00 - 10:30 a.m,60,60,0
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,G-4785,Martes 19:00 - 20:30 p.m,50,3,0
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,G-4788,Miercoles 19:00 - 20:30 p.m,50,3,0
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,G-4799,Jueves 20:00 - 21:30 p.m,50,4,0
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,G-4800,Viernes 10:00 - 11:30 a.m,50,2,0
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,G-4801,Sabado 10:00 - 11:30 a.m,50,1,0
Bogota & Cundinamarca,C-2559,Sistemas Nivel 2,G-4765,Martes 10:00 - 11:30 a.m,60,60,0
Bogota & Cundinamarca,C-2559,Sistemas Nivel 2,G-4767,Sabado 8:00 - 9:30 a.m,60,60,0
Bogota & Cundinamarca,C-2559,Sistemas Nivel 2,G-4768,Sabado 10:00 - 11:30 a.m,60,60,1
Bogota & Cundinamarca,C-2559,Sistemas Nivel 2,G-4831,Viernes 19:00 - 20:30 p.m,60,60,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4810,Martes 9:00 - 10:30 a.m,50,36,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4839,Martes 19:00 - 20:30 p.m,50,50,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4840,Martes 19:00 - 20:30 p.m,50,23,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4841,Miercoles 10:00 - 11:30 a.m,50,26,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4843,Viernes 19:00 - 20:30 p.m,50,44,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4844,Sabado 8:00 - 9:30 a.m,50,50,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4845,Sabado 9:00 - 10:30 a.m,50,29,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4847,Sabado 10:00 - 11:30 a.m,50,50,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4910,Viernes 19:00 - 20:30 p.m,50,44,0
Bogota & Cundinamarca,C-2500,Sin Limites Virtual,G-4956,Sabado 9:00 - 10:30 a.m,50,8,0
Bogota & Cundinamarca,C-2500,Sin Limites Virtual,G-4957,Sabado 10:00 - 11:30 a.m,50,15,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4962,Lunes 13:00 - 14:30 p.m,50,50,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4963,Lunes 16:00 - 17:30 p.m,50,50,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4964,Martes 10:00 - 11:30 a.m,50,50,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4965,Jueves 20:00 - 21:30 p.m,50,50,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4966,Jueves 20:00 - 21:30 p.m,50,50,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4967,Viernes 16:00 - 17:30 p.m,50,50,1
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4968,Sabado 8:00 - 9:30 a.m,50,50,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4969,Sabado 8:00 - 9:30 a.m,50,50,3
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,G-4970,Sabado 10:00 - 11:30 a.m,50,50,0
Bogota & Cundinamarca,C-2561,Portugues Nivel 1,G-4999,Martes 18:00 - 19:30 p.m,60,60,3
Bogota & Cundinamarca,C-2561,Portugues Nivel 1,G-5000,Jueves 14:00 - 15:30 p.m,60,60,1
Bogota & Cundinamarca,C-2561,Portugues Nivel 1,G-5001,Sabado 8:00 - 9:30 a.m,60,60,5
